Date,POTUS,VP,TomBrady,BarackObama,justinbieber,katyperry,rihanna,taylorswift13,ladygaga,ArianaGrande,TheEllenShow,jtimberlake,selenagomez,britneyspears,ddlovato,BillGates,shakira,jimmyfallon,neymarjr,KingJames,MileyCyrus,SrBachchan,Oprah,BrunoMars,elonmusk,Drake,KevinHart4real,KylieJenner,wizkhalifa,Harry_Styles,Louis_Tomlinson,LilTunechi,JoeBiden,andrewcuomo,RonDeSantisFL,AndrewYang,tedcruz
2021-03-11,695,715,663,811,700,769,500.0,706,777,815,731,,624,472,776,773,738,781,586,721,572,669,833,773,577.0,613,859,691,687,,707,620,,,,,
2021-03-12,691,701,680,813,699,769,500.0,706,777,815,722,,655,472,775,773,738,784,589,721,570,671,720,773,650.0,613,852,676,683,,707,620,,,,,
2021-03-13,704,692,659,813,704,769,500.0,681,777,815,719,,654,472,774,773,743,785,588,726,570,678,720,773,949.0,659,859,685,691,,707,620,,,,,
2021-03-14,678,691,660,807,736,770,500.0,654,801,754,702,,665,472,770,773,743,796,587,731,570,682,798,773,664.0,659,858,712,690,,707,620,,,,,
2021-03-15,630,684,657,812,744,758,500.0,644,801,759,702,,666,472,771,773,743,793,587,738,570,677,798,776,675.0,659,855,694,695,,707,646,,,,,
2021-03-16,698,673,650,813,754,759,530.0,620,801,760,701,,679,472,785,773,759,785,592,735,543,676,798,771,790.0,659,850,706,719,946.0,707,618,,,,,
2021-03-17,664,684,650,753,755,759,573.0,640,801,760,684,,679,472,787,770,762,778,585,721,547,661,799,771,666.0,659,850,703,719,946.0,707,618,,,,,
2021-03-18,682,682,631,753,765,759,569.0,640,801,753,695,391.0,684,472,773,755,773,754,585,720,547,655,799,771,684.0,659,859,697,726,946.0,612,618,,,,,
2021-03-19,655,693,631,753,757,759,569.0,640,801,742,692,391.0,684,472,768,743,780,729,579,728,547,655,813,771,728.0,659,869,697,719,946.0,699,618,,,,,
2021-03-20,690,732,571,786,767,802,600.0,611,889,853,707,333.0,703,500,812,750,797,783,572,792,597,660,864,812,,667,894,700,754,1000.0,750,625,,,,,
2021-03-21,696,735,571,773,753,802,500.0,688,889,818,704,333.0,706,500,793,764,793,786,572,781,617,667,875,810,,667,893,690,757,1000.0,750,625,,,,,
2021-03-22,480,570,357,667,560,699,250.0,500,889,500,579,333.0,500,333,595,613,643,658,179,653,379,364,750,648,350.0,667,783,524,636,1000.0,632,444,,,,,
2021-03-23,500,572,400,657,558,696,250.0,500,889,500,562,333.0,523,333,500,621,643,647,181,667,379,368,750,648,,667,771,524,638,1000.0,700,714,,,,,
2021-03-24,510,584,462,650,558,669,200.0,556,889,500,574,250.0,530,333,574,621,633,651,171,667,409,384,692,648,488.0,667,786,545,638,1000.0,700,714,,,,,
2021-03-25,522,599,462,625,552,664,333.0,556,900,429,571,250.0,545,400,557,600,625,655,197,667,417,356,692,648,516.0,600,783,524,643,1000.0,700,714,,,,,
2021-03-26,515,597,462,615,580,664,333.0,636,900,429,545,250.0,545,500,549,577,645,663,203,651,391,329,600,648,460.0,600,776,611,638,1000.0,688,714,,,,,
2021-03-27,700,750,643,737,769,795,562.0,773,900,714,677,400.0,730,625,740,688,828,774,589,767,646,636,761,810,638.0,600,909,735,765,1000.0,812,900,,,,,
2021-03-28,500,595,385,595,581,664,375.0,600,900,375,532,400.0,565,667,553,522,692,659,214,619,423,324,615,643,556.0,667,806,600,646,1000.0,688,800,,,,,
2021-03-29,512,605,385,595,607,662,429.0,667,1000,375,526,400.0,565,667,545,524,680,671,207,605,429,314,615,643,0.0,667,797,588,667,1000.0,688,800,,,,,
2021-03-30,497,600,385,556,602,646,429.0,667,1000,400,515,400.0,565,667,566,565,680,667,190,587,444,319,615,657,0.0,667,797,556,691,1000.0,688,833,,,,,
2021-03-31,450,606,462,556,607,636,500.0,750,1000,400,520,400.0,547,667,582,591,680,658,143,578,444,338,630,662,500.0,667,776,550,686,1000.0,675,833,,,,,
2021-04-01,500,596,500,529,612,634,500.0,750,1000,400,510,400.0,556,667,592,591,680,658,151,588,529,347,630,691,,667,780,500,699,1000.0,684,750,,,,,
2021-04-02,690,756,692,667,780,771,667.0,889,1000,700,668,400.0,703,833,812,739,820,768,539,735,721,651,778,833,725.0,667,883,674,827,1000.0,803,900,,,,,
2021-04-03,488,596,462,529,621,631,500.0,833,1000,455,495,400.0,577,667,632,609,680,631,157,580,474,338,630,691,550.0,667,776,522,727,1000.0,684,800,,,,,
2021-04-04,480,598,545,545,622,634,500.0,818,1000,500,510,400.0,583,500,641,636,680,625,167,552,459,352,630,704,462.0,1000,767,522,757,1000.0,684,800,,,,,
2021-04-05,512,605,545,529,631,642,500.0,818,1000,455,521,400.0,568,500,656,619,680,609,184,552,526,357,615,735,583.0,1000,766,522,753,1000.0,742,800,,,,,
2021-04-06,684,760,773,677,784,775,667.0,909,1000,727,688,400.0,717,750,809,682,808,739,552,733,711,667,760,856,688.0,1000,885,708,853,1000.0,848,900,,,,,
2021-04-07,462,594,500,500,634,624,500.0,833,1000,500,500,400.0,591,500,652,591,654,597,200,564,541,382,577,800,700.0,1000,763,500,747,1000.0,758,800,,,,,
2021-04-08,475,603,500,484,648,624,500.0,769,1000,538,510,400.0,615,333,656,550,636,588,227,556,562,394,577,778,600.0,1000,780,435,750,1000.0,758,800,,,,,
2021-04-09,667,749,750,661,795,784,667.0,893,1000,769,667,400.0,757,750,818,625,841,738,568,717,758,694,750,955,762.0,1000,887,652,840,1000.0,848,900,,,,,
2021-04-10,455,587,462,516,644,621,500.0,786,1000,538,542,400.0,645,375,680,450,650,632,229,569,581,410,560,833,,1000,766,455,730,1000.0,758,800,,,,,
2021-04-11,658,761,731,677,789,782,667.0,893,1000,769,694,400.0,761,625,823,579,842,738,559,740,750,685,750,917,825.0,1000,883,643,838,1000.0,848,900,,,,,
2021-04-12,588,762,708,667,795,780,667.0,893,1000,769,702,400.0,735,625,824,550,833,738,557,730,768,677,750,917,810.0,1000,888,658,852,1000.0,848,900,,,,,
2021-04-13,500,756,692,656,799,780,667.0,889,1000,769,716,571.0,763,625,835,591,816,750,571,713,768,681,714,923,783.0,1000,894,667,841,1000.0,848,900,,,,,
2021-04-14,468,589,400,500,677,634,500.0,833,1000,500,582,571.0,684,375,662,455,632,623,275,571,607,412,524,818,533.0,1000,797,500,726,1000.0,758,750,,,,,
2021-04-15,456,581,444,484,670,634,500.0,833,1000,500,589,571.0,692,444,656,455,500,641,256,571,655,418,556,875,683.0,1000,803,474,702,,758,750,,,,,
2021-04-16,467,568,455,536,678,634,400.0,824,1000,500,617,571.0,733,444,657,455,429,667,278,583,655,403,480,875,588.0,1000,824,500,707,,795,750,,,,,
2021-04-17,486,564,500,536,687,634,500.0,750,1000,500,619,750.0,714,444,651,500,412,694,265,583,655,426,480,875,700.0,1000,833,471,702,,795,750,,,,,
2021-04-18,494,568,500,536,714,634,500.0,750,1000,556,611,750.0,667,444,657,500,412,732,250,565,633,435,480,875,650.0,1000,831,471,717,,794,750,,,,,
2021-04-19,575,570,500,519,683,632,500.0,762,1000,556,626,750.0,667,444,655,438,389,706,242,574,633,424,480,875,603.0,1000,844,471,722,,794,750,,,,,
2021-04-20,693,747,750,694,840,789,625.0,864,1000,792,734,750.0,733,650,812,594,694,828,562,734,800,690,688,944,767.0,1000,914,694,845,,838,875,,,,,
2021-04-21,486,544,545,484,750,606,500.0,773,889,538,596,571.0,667,400,654,438,389,721,250,551,625,418,500,889,476.0,1000,831,526,738,,757,600,,,,,
2021-04-22,484,550,500,484,778,611,500.0,773,889,562,606,500.0,583,400,668,444,458,745,250,509,606,418,481,889,557.0,1000,844,526,729,,731,667,,,,,
2021-04-23,462,542,455,500,787,611,667.0,789,889,455,606,625.0,583,400,667,474,464,727,250,509,568,403,536,889,517.0,1000,853,500,740,,731,667,,,,,
2021-04-24,650,748,727,708,872,777,500.0,868,938,714,738,850.0,692,625,820,675,740,843,565,679,764,682,741,944,850.0,750,920,711,862,,827,833,,,,,
2021-04-25,461,550,455,522,757,614,500.0,765,875,500,608,700.0,652,375,674,500,480,754,233,491,568,453,591,889,750.0,500,853,526,718,,750,500,,,,,
2021-04-26,449,544,500,522,767,614,,765,875,500,606,667.0,667,375,678,526,480,758,258,500,556,446,619,889,610.0,500,836,500,726,,750,400,,,,,
2021-04-27,457,555,500,520,781,617,,765,778,524,610,667.0,667,375,680,526,480,765,258,517,528,438,650,778,537.0,0,843,500,733,,750,400,,,,,
2021-04-28,457,561,500,542,767,607,,765,700,524,594,667.0,654,273,688,526,480,768,267,518,514,452,613,778,540.0,0,849,500,750,,750,400,,,,,
2021-04-29,448,552,500,545,793,626,,765,700,571,604,700.0,654,273,683,471,519,775,267,519,533,453,629,750,450.0,0,847,533,750,,720,250,,,,,
2021-04-30,622,737,750,692,860,786,,853,818,773,748,850.0,833,591,828,647,759,859,635,689,761,682,812,786,675.0,500,905,750,846,,815,700,690.0,750.0,737.0,806.0,575.0
2021-05-01,633,738,722,692,896,788,,853,750,771,755,833.0,812,591,830,656,750,859,640,677,735,667,826,786,,500,899,792,839,,815,750,713.0,750.0,722.0,806.0,579.0
2021-05-02,571,549,444,500,826,630,,750,625,583,626,667.0,750,273,657,467,500,775,292,521,500,426,638,714,500.0,0,827,727,735,,704,500,612.0,500.0,639.0,658.0,347.0
2021-05-03,446,556,444,480,826,628,,692,625,565,636,667.0,750,273,672,500,481,778,292,543,533,435,625,600,500.0,0,827,700,730,,704,500,600.0,500.0,686.0,655.0,360.0
2021-05-04,600,745,722,667,880,785,,808,750,761,765,833.0,812,591,814,633,731,867,586,724,754,675,806,625,725.0,500,903,800,830,,815,786,720.0,750.0,742.0,803.0,592.0
2021-05-05,486,569,444,500,760,595,,692,625,565,619,714.0,781,273,664,462,414,811,207,622,508,383,588,500,570.0,0,824,700,733,,704,625,588.0,500.0,657.0,652.0,372.0
